Pressure1/kPa,Pressure2/kPa,Theta1_real/deg,Theta1_sim/deg,Theta1_error/deg,Theta1_errorRelative,Theta2_real/deg,Theta2_sim/deg,Theta2_error/deg,Theta2_errorRelative
0.0,0.0,73.89266921178866,73.96193497551889,-0.06926576373022501,-0.0009373834301708309,62.25957185233734,61.068433174285474,1.191138678051866,0.019131816082463927
0.0,10.0,74.02865965110674,74.26541922071269,-0.2367595696059519,-0.0031982149983774875,46.37301069400972,45.35001836653935,1.022992327470367,0.02206008003708314
0.0,20.0,74.09988623784302,74.81041658699257,-0.7105303491495535,-0.009588818353498141,28.34796261181518,28.75401753959062,-0.4060549277754383,-0.014323954540782351
0.0,30.0,74.41576273100394,74.9691383364206,-0.553375605416653,-0.0074362686762612365,15.721740341816783,11.498952278077322,4.222788063739462,0.2685954590222855
10.0,0.0,83.98188234542413,82.95937711479463,1.0225052306294948,0.012175307364793872,51.382920738087606,52.1199302987,-0.7370095606123961,-0.014343473473785765
10.0,10.0,83.77451736048711,83.52381841048317,0.25069895000394526,0.002992544247377417,36.05601595856918,35.42571218181656,0.6303037767526292,0.017481237457762696
10.0,20.0,84.41700923034581,84.18913869383026,0.2278705365155544,0.0026993438714912514,12.79867537675587,17.484948926154857,-4.686273549398986,-0.36615301282739726
20.0,0.0,92.74444734757957,91.69389567522309,1.050551672356488,0.01132738080177805,41.745600135503445,42.89459975256273,-1.14899961705929,-0.027523849539345793
20.0,10.0,92.87948991857289,93.07890659223686,-0.199416673663981,-0.0021470474680557452,26.48362177846401,24.16217257532682,2.32144920313719,0.08765603219061788
30.0,0.0,99.26528455332016,100.78531675447103,-1.520032201150867,-0.015312827722106457,34.06637576600336,32.63859380668279,1.427781959320574,0.041911765699051355
30.0,10.0,101.89286297092141,102.39627329756986,-0.5034103266484538,-0.004940584766885184,16.289083920034766,11.44845814994432,4.840625770090445,0.29716992028856304
40.0,0.0,110.0897124629567,110.27520811881051,-0.18549565585380887,-0.0016849499531232308,20.816637813755904,21.038551258676545,-0.22191344492064102,-0.010660388430930846
50.0,0.0,118.19206427136213,118.75861747937323,-0.5665532080110993,-0.004793496175092822,9.778826851093196,8.305147817311731,1.4736790337814663,0.15070100495917058
