Kp,Ki,Kd,MSE
100.00001704202086,8.504035149681233e-05,1.9999996026182174,0.003772863920483988
113.89119050649485,35.96067798924386,8.347471253992712,0.001794455556249145
120.78165597398727,54.5268337439597,11.0241323393669,0.0013367358104012122
132.86656278189972,85.31278628358935,14.32491078506748,0.0009031989549218056
9733.145292085825,881.4179848361362,31.522076138236617,1.1906664612297016e-05
9635.896342651622,883.9740729116504,39.49357259772533,1.1776496697208119e-05
9635.896342651622,883.9740729116504,39.49357259772533,1.1776496697208119e-05
9635.896342651622,883.9740729116504,39.49357259772533,1.1776496697208119e-05
8948.659257483163,982.9924223320577,75.19610033313269,1.1723101330801507e-05
9742.284552075913,964.9587423311834,35.456283859470446,1.1599069289843071e-05
9868.652013257679,908.5832298944686,47.37644174954892,1.1514047611794527e-05
9839.092948121077,911.4546838545127,67.91014489326184,1.1451116497969121e-05
9789.494611190763,962.4227104730048,57.601475687539185,1.1355597369148595e-05
9849.788196080604,967.6080474625672,56.465595541684834,1.1321802494764551e-05
9925.299199469522,972.7445242820181,76.94085706224544,1.1286774425520527e-05
