parameter,base_value,delta_ratio,error_base,error_plus,sensitivity_plus,relative_sensitivity_plus
damping_MAA,12.481528852527212,-0.01,1.8633574817808098,1.8635283786640378,-0.0013691983189487932,-0.009171449112630022
damping_BAA,24.786338846294175,-0.01,1.8633574817808098,1.8653923725115156,-0.008209726911766026,-0.1092056006752384
s1,0.000402878523871013,-0.01,1.8633574817808098,1.879307769650569,-3959.081193135465,-0.8559971999852313
s2,0.0004359278762327848,-0.01,1.8633574817808098,1.8668888487967734,-810.0805680244745,-0.1895163461918561
RB_MAA_uGeom,0.03108,0.01,1.8633574817808098,1.8633574814265816,-1.139730380714647e-06,-1.9010211716732774e-08
RB_MAA_mGeom,0.12432,0.01,1.8633574817808098,1.8657176488199279,1.8984612605518103,0.12666206362412005
RB_MAA_lGeom,0.03108,0.01,1.8633574817808098,1.8644647763094726,3.5627237086961423,0.05942469652170663
RB_BAA_uGeom,0.04544333333,0.01,1.8633574817808098,1.8633574815085787,-5.990562456175943e-07,-1.4609710116923765e-08
RB_BAA_mGeom,0.1817733333,0.01,1.8633574817808098,1.8670013683381073,2.0046320827948505,0.1955548837475327
RB_BAA_lGeom,0.04544333333,0.01,1.8633574817808098,1.8650499621605097,3.724375514906409,0.09082961247362586
stiffness_MAA,265.8241475038647,0.01,1.8633574817808098,1.8708823111846313,0.0028307546453100493,0.4038317648329085
stiffness_BAA,110.35587085946752,0.01,1.8633574817808098,1.8708185514017128,0.006760917713570733,0.40040999614161216
l10,0.18030933265375373,0.01,1.8633574817808098,2.1385478674978997,152.6212657253495,14.768523399712361
l20,0.2565263437073504,0.01,1.8633574817808098,2.1005226587102803,92.45256198717452,12.72784096709193
damping_MAA,12.481528852527212,0.01,1.8633574817808098,1.8631886127281134,-0.0013529516671527523,-0.009062622408612149
damping_BAA,24.786338846294175,0.01,1.8633574817808098,1.861509751524495,-0.00745463163306654,-0.09916134045030535
s1,0.000402878523871013,0.01,1.8633574817808098,1.8489497931041634,-3576.1868213306034,-0.7732111963227267
s2,0.0004359278762327848,0.01,1.8633574817808098,1.860415085459116,-674.9731967410756,-0.15790831069526504
RB_MAA_uGeom,0.03108,0.05,1.8633574817808098,1.863357480009643,-1.139746955472801e-06,-1.9010488176557827e-08
RB_MAA_mGeom,0.12432,0.05,1.8633574817808098,1.8762993090334572,2.082018541288186,0.13890868906463258
RB_MAA_lGeom,0.03108,0.05,1.8633574817808098,1.8691740897296376,3.7429909580616267,0.062431476576022736
RB_BAA_uGeom,0.04544333333,0.05,1.8633574817808098,1.8633574804196535,-5.990565387887883e-07,-1.4609717266746826e-08
RB_BAA_mGeom,0.1817733333,0.05,1.8633574817808098,1.8903944232444434,2.9747973448901437,0.2901959685995879
RB_BAA_lGeom,0.04544333333,0.05,1.8633574817808098,1.8740400607795134,4.701494461741548,0.11465946929833529
stiffness_MAA,265.8241475038647,0.05,1.8633574817808098,1.9567518862851385,0.007026781079244943,1.0024314219628077
stiffness_BAA,110.35587085946752,0.05,1.8633574817808098,1.948617084737103,0.01545175662921763,0.9151180467508632
l10,0.18030933265375373,0.05,1.8633574817808098,5.201377051182484,370.2547749773597,35.828010481504926
l20,0.2565263437073504,0.05,1.8633574817808098,5.184556561345115,258.93629726802527,35.64747089098799
damping_MAA,12.481528852527212,0.05,1.8633574817808098,1.8625372581697992,-0.001314299907810675,-0.008803717150686003
damping_BAA,24.786338846294175,0.05,1.8633574817808098,1.8559104074724708,-0.0060090151712360994,-0.07993178315115201
s1,0.000402878523871013,0.05,1.8633574817808098,1.8084545885317043,-2725.5308980770333,-0.5892899648717422
s2,0.0004359278762327848,0.05,1.8633574817808098,1.8545737927805797,-402.9881766744236,-0.09427808765750757
RB_MAA_uGeom,0.03108,0.1,1.8633574817808098,1.8633574782384712,-1.1397485986600318e-06,-1.90105155842129e-08
RB_MAA_mGeom,0.12432,0.1,1.8633574817808098,1.892023078571686,2.305791247657353,0.15383841839881693
RB_MAA_lGeom,0.03108,0.1,1.8633574817808098,1.8756802649593591,3.9648594525576866,0.06613214747592293
RB_BAA_uGeom,0.04544333333,0.1,1.8633574817808098,1.863357479058492,-5.990577114735647e-07,-1.4609745866039072e-08
RB_BAA_mGeom,0.1817733333,0.1,1.8633574817808098,1.9386456288434253,4.141869750408293,0.4040456423351605
RB_BAA_lGeom,0.04544333333,0.1,1.8633574817808098,1.890180054901005,5.90242201764014,0.14394754298332965
stiffness_MAA,265.8241475038647,0.1,1.8633574817808098,2.1598715574173544,0.011154519949405034,1.5912892643292802
stiffness_BAA,110.35587085946752,0.1,1.8633574817808098,2.1250241694190057,0.023711170561230482,1.404275294443883
l10,0.18030933265375373,0.1,1.8633574817808098,9.797688140256552,440.0399325814133,42.58082915411865
l20,0.2565263437073504,0.1,1.8633574817808098,9.796797323963677,309.2641374576901,42.576048448850955
damping_MAA,12.481528852527212,0.1,1.8633574817808098,1.8617705605211896,-0.0012714157683486982,-0.008516461683474785
damping_BAA,24.786338846294175,0.1,1.8633574817808098,1.8528320656536155,-0.004246458580456322,-0.05648629546454629
s1,0.000402878523871013,0.1,1.8633574817808098,1.803217720395467,-1492.7517309062991,-0.3227494561476599
s2,0.0004359278762327848,0.1,1.8633574817808098,1.8606477818748512,-62.15936290597805,-0.014542029280226661
