Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
LF_MAA_LowerLink,0.0100015812569088,-0.0053087361764389,0.0341502884859824,0,0,0,0.0161000353690241,9.30652305873051E-06,2.88814907869498E-10,8.78566870826239E-11,9.08331331570098E-06,1.01764862302278E-06,1.9097331907503E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_MAA_LowerLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_MAA_LowerLink.STL,,SimBody_MAA_lower-1,LF_MAA_LowerPart,LF_MAA_SlideJoint,LF_MAA_LowerJoint,prismatic,0,0.03,-0.21,0,0,0,LF_MAA_UpLink,0,0.14142,-0.98995,0,0,0,0,,,,,,,,
RF_MAA_UpLink,-0.0103392056750508,0.00755232255464103,-0.05643173811432,0,0,0,0.0204665687303366,3.10492542688078E-05,-9.91687510114825E-08,4.12419888171118E-09,3.04766496147444E-05,4.13117099445733E-06,2.43057644141593E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_MAA_UpLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_MAA_UpLink.STL,,SimBody_BAA_upper-2,RF_MAA_UpPart,RF_MAA_UpJoint,RF_MAA_UpJoint,revolute,0.126,0.175,-0.105,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
RF_MAA_LowerLink,-0.00999841874309121,-0.00530873617643884,0.0341502884859824,0,0,0,0.0161000353690241,9.30652305873049E-06,2.88814907869147E-10,8.78566870826234E-11,9.08331331570098E-06,1.01764862302276E-06,1.90973319075028E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_MAA_LowerLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_MAA_LowerLink.STL,,SimBody_MAA_lower-2,RF_MAA_LowerPart,RF_MAA_SlideJoint,RF_MAA_LowerJoint,prismatic,0,0.03,-0.21,0,0,0,RF_MAA_UpLink,0,0.14142,-0.98995,0,0,0,0,,,,,,,,
LB_MAA_UpLink,0.0104053559860557,-0.00550330101398444,-0.034262204899338,0,0,0,0.0171264374395859,9.5875528536131E-06,9.37930871008669E-08,-3.16777261990123E-08,9.46532493951139E-06,-1.05870831474407E-06,1.92378086599244E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_MAA_UpLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_MAA_UpLink.STL,,SimBody_MAA_upper-3,LB_MAA_UpPart,LB_MAA_UpJoint,LB_MAA_UpJoint,revolute,-0.124,-0.175,-0.105,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
LB_MAA_LowerLink,0.0100015812581986,0.00446569404206931,0.0342707231199565,0,0,0,0.0161000353334962,9.30652305672584E-06,3.01862666214927E-10,3.47450620477524E-12,9.06799253641808E-06,-1.07017701976206E-06,1.92505397284664E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_MAA_LowerLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_MAA_LowerLink.STL,,SimBody_MAA_lower-4,LB_MAA_LowerPart,LB_MAA_SlideJoint,LB_MAA_LowerJoint,prismatic,0,-0.03,-0.21,0,0,0,LB_MAA_UpLink,0,-0.14142,-0.98995,0,0,0,0,,,,,,,,
RB_MAA_UpLink,-0.00959464401394439,-0.00550330101398433,-0.0342622048993386,0,0,0,0.0171264374395861,9.58755285361336E-06,9.37930871008613E-08,-3.16777261990146E-08,9.46532493951165E-06,-1.05870831474407E-06,1.92378086599244E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_MAA_UpLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_MAA_UpLink.STL,,SimBody_MAA_upper-4,RB_MAA_UpPart,RB_MAA_UpJoint,RB_MAA_UpJoint,revolute,0.124,-0.175,-0.105,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
RB_MAA_LowerLink,-0.00999841874180141,0.0044656940420692,0.0342707231199562,0,0,0,0.0161000353334962,9.30652305672585E-06,3.01862666214333E-10,3.47450620474225E-12,9.0679925364181E-06,-1.07017701976202E-06,1.92505397284665E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_MAA_LowerLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_MAA_LowerLink.STL,,SimBody_MAA_lower-3,RB_MAA_LowerPart,RB_MAA_SlideJoint,RB_MAA_LowerJoint,prismatic,0,-0.03,-0.21,0,0,0,RB_MAA_UpLink,0,-0.14142,-0.98995,0,0,0,0,,,,,,,,
LF_BAA_UpLink,0.00966079408587497,-0.00430834263362653,-0.0567716145093938,0,0,0,0.0204665709436908,3.10492543331877E-05,-9.61603163748154E-08,2.45894840377622E-08,3.0947108899514E-05,-1.91068296279259E-06,1.96011736217769E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_BAA_UpLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_BAA_UpLink.STL,,SimBody_BAA_upper-1,LF_BAA_UpPart,LF_BAA_UpJoint,LF_BAA_UpJoint,revolute,-0.126,0.335,-0.105,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
LF_BAA_LowerLink,0.00999992069053446,0.00356973497087257,0.0585364138415042,0,0,0,0.0194426287972803,3.18395041724194E-05,1.27406567042962E-12,3.27088984796471E-12,3.16211482432029E-05,-2.01444569554887E-06,2.09344610947503E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_BAA_LowerLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_BAA_LowerLink.STL,,SimBody_BAA_lower-1,LF_BAA_LowerPart,LF_BAA_SlideJoint,LF_BAA_LowerJoint,prismatic,0,-0.013397,-0.2,0,0,0,LF_BAA_UpLink,0,-0.066838,-0.99776,0,0,0,0,,,,,,,,
RF_BAA_UpLink,-0.00959464421764755,-0.00292023843539835,-0.0345782749394958,0,0,0,0.0171264386481169,9.58755282975005E-06,9.59031928705218E-08,-2.45598438210799E-08,9.58120388593561E-06,-4.83247761472822E-07,1.80790170886721E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_BAA_UpLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_BAA_UpLink.STL,,SimBody_MAA_upper-2,RF_BAA_UpPart,RF_BAA_UpJoint,RF_BAA_UpJoint,revolute,0.126,0.335,-0.105,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
RF_BAA_LowerLink,-0.0100000793094656,0.00356973497087275,0.0585364138415043,0,0,0,0.0194426287972802,3.18395041724194E-05,1.27406567017277E-12,3.27088984873203E-12,3.16211482432029E-05,-2.01444569554903E-06,2.09344610947499E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_BAA_LowerLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_BAA_LowerLink.STL,,SimBody_BAA_lower-2,RF_BAA_LowerPart,LF_BAA_SlideJoint,RF_BAA_LowerJoint,prismatic,0,-0.013397,-0.2,0,0,0,RF_BAA_UpLink,0,-0.066838,-0.99776,0,0,0,0,,,,,,,,
LB_BAA_UpLink,0.00966079422688676,0.00330212714752798,-0.0568390211956726,0,0,0,0.0204665696983522,3.10492542975989E-05,-9.85808261722483E-08,1.15442697536067E-08,3.09365790753536E-05,1.98892548493944E-06,1.97064706320605E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_BAA_UpLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_BAA_UpLink.STL,,SimBody_BAA_upper-3,LB_BAA_UpPart,LB_BAA_UpJoint,LB_BAA_UpJoint,revolute,-0.124,-0.335,-0.105,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
LB_BAA_LowerLink,0.00999992069043695,-0.00426951730195868,0.0584895372950257,0,0,0,0.0194426288051958,3.18395041729803E-05,8.26349482237479E-13,3.41161327114766E-12,3.16284313181091E-05,1.96032801613553E-06,2.08616303394687E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_BAA_LowerLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_BAA_LowerLink.STL,,SimBody_BAA_lower-4,LB_BAA_LowerPart,LB_BAA_SlideJoint,LB_BAA_LowerJoint,prismatic,0,0.013397,-0.2,0,0,0,LB_BAA_UpLink,0,0.066838,-0.99776,0,0,0,0,,,,,,,,
RB_BAA_UpLink,-0.0103392057731131,0.00330212714752842,-0.0568390211956747,0,0,0,0.0204665696983529,3.10492542976001E-05,-9.85808261722445E-08,1.15442697536278E-08,3.09365790753548E-05,1.98892548493959E-06,1.97064706320607E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_BAA_UpLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_BAA_UpLink.STL,,SimBody_BAA_upper-4,RB_BAA_UpPart,RB_BAA_UpJoint,RB_BAA_UpJoint,revolute,0.126,-0.335,-0.105,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
RB_BAA_LowerLink,-0.0100000793095631,-0.00426951730195901,0.0584895372950257,0,0,0,0.0194426288051957,3.18395041729804E-05,8.26349479899479E-13,3.41161328659327E-12,3.16284313181092E-05,1.96032801613557E-06,2.08616303394694E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_BAA_LowerLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_BAA_LowerLink.STL,,SimBody_BAA_lower-5,RB_BAA_LowerPart,RB_BAA_SlideJoint,RB_BAA_LowerJoint,prismatic,0,0.013397,-0.2,0,0,0,RB_BAA_UpLink,0,0.066838,-0.99776,0,0,0,0,,,,,,,,
