Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.15298803627218E-10,-4.11565533875446E-08,-0.0393086135229632,0,0,0,2.99679730980956,0.0130487898748685,6.82531346409562E-07,3.31981370312581E-12,0.00258501180931101,2.58496235050824E-10,0.0139348543127955,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/base_link.STL,,SimBody_Base-1,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_Thigh,0.0095038,-0.00067671,-0.13181,0,0,0,0.088242,0.00049167,-2.1956E-07,-8.6515E-07,0.00048834,-2.451E-05,8.9795E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_Thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_Thigh.STL,,SimBody_LF_ThighLeg-1,LF_Thigh,LF_Shoulder,LF_Shoulder,revolute,-0.1245,0.235,-0.105,0,0,0,base_link,1,0,0,1,1,0,3.14,,,,,,,,
LF_Calf,0.0094996,0.14516,0.0018158,0,0,0,0.10463,0.00040923,-1.6061E-07,5.0479E-07,1.7662E-05,-4.6889E-06,0.00040277,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_Calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_Calf.STL,,SimBody_LF_CalfLeg-1,LF_Calf,LF_Elbow,LF_Elbow,revolute,0,0,-0.25,0,0,0,LF_Thigh,1,0,0,1,1,0,3.14,,,,,,,,
RF_Thigh,-0.0096381,-0.00030317,-0.12935,0,0,0,0.08659,0.00049153,-2.2292E-07,-8.6515E-07,0.00048831,-2.451E-05,8.8685E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_Thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_Thigh.STL,,SimBody_RF_ThighLeg-1,RF_Thigh,RF_Shoulder,RF_Shoulder,revolute,0.1245,0.235,-0.105,0,0,0,base_link,1,0,0,1,1,0,3.14,,,,,,,,
RF_Calf,-0.0095004,0.14516,0.0018158,0,0,0,0.10463,0.00040923,-1.6061E-07,5.0479E-07,1.7662E-05,-4.6889E-06,0.00040277,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_Calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_Calf.STL,,SimBody_RF_CalfLeg-1,RF_Calf,RF_Elbow,RF_Elbow,revolute,0,0,-0.25,0,0,0,RF_Thigh,1,0,0,1,1,0,3.14,,,,,,,,
LB_Thigh,0.0099962,0.00067671,-0.13181,0,0,0,0.088242,0.00049167,-2.1956E-07,8.6515E-07,0.00048834,2.451E-05,8.9795E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_Thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_Thigh.STL,,SimBody_LB_ThighLeg-1,LB_Thigh,LB_Shoulder,LB_Shoulder,revolute,-0.125,-0.235,-0.105,0,0,0,base_link,1,0,0,1,1,0,3.14,,,,,,,,
LB_Calf,0.0095003,-0.14516,0.0018158,0,0,0,0.10463,0.00040923,-1.6059E-07,-5.0478E-07,1.7662E-05,4.6889E-06,0.00040277,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_Calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_Calf.STL,,SimBody_LB_CalfLeg-1,LB_Calf,LB_Elbow,LB_Elbow,revolute,0.0005,0,-0.25,0,0,0,LB_Thigh,1,0,0,1,1,0,3.14,,,,,,,,
RB_Thigh,-0.0090901,0.00031423,-0.12631,0,0,0,0.083544,0.00049097,-2.2292E-07,8.7543E-07,0.00048784,2.451E-05,8.749E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_Thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_Thigh.STL,,SimBody_RB_ThighLeg-1,RB_Thigh,RB_Shoulder,RB_Shoulder,revolute,0.1245,-0.235,-0.105,0,0,0,base_link,1,0,0,1,1,0,3.14,,,,,,,,
RB_Calf,-0.0094997,-0.14516,0.0018158,0,0,0,0.10463,0.00040923,-1.6058E-07,-5.0478E-07,1.7662E-05,4.6889E-06,0.00040277,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_Calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_Calf.STL,,SimBody_RB_CalfLeg-1,RB_Calf,RB_Elbow,RB_Elbow,revolute,0,0,-0.25,0,0,0,RB_Thigh,1,0,0,1,1,0,3.14,,,,,,,,
