Pressure1/kPa,Pressure2/kPa,Theta1_real/deg,Theta2_real/deg,Theta1_sim/deg,Theta2_sim/deg,Theta1_error/deg,Theta2_error/deg,Theta1_errorRelative,Theta2_errorRelative
0.0,0.0,73.96193497551889,61.068433174285474,73.89266204833984,62.25956726074219,0.06926706235830933,-1.191138506779429,0.000936523123431485,0.04117089523546782
0.0,10.0,74.26541922071269,45.35001836653936,74.02865600585938,46.37301254272461,0.23676224117715466,-1.0229943428448645,0.0031880550013931854,0.02291141687902137
0.0,20.0,74.81041658699257,28.754017539590617,74.09989166259766,28.347963333129883,0.7105275646029874,0.4060533423357626,0.009497708969134763,-0.006629877193957066
0.0,30.0,74.9691383364206,11.49895227807732,74.41576385498047,15.72174072265625,0.5533735554854224,-4.222789106289076,0.007381351416928174,0.05379277383975341
10.0,0.0,82.95937711479465,52.119930298700005,83.98187255859375,51.38291931152344,-1.0225047308502744,0.737007984057285,-0.012325366539763051,-0.019456352373923742
10.0,10.0,83.52381841048317,35.42571218181656,83.77452087402344,36.05601501464844,-0.2507057221493282,-0.6303032013579856,-0.0030016075284922776,0.011549453534929626
10.0,20.0,84.18913869383026,17.484948926154857,84.41700744628906,12.798675537109375,-0.22787401326865234,4.686273228233687,-0.002706691347649479,-0.06462483524229276
20.0,0.0,91.69389567522308,42.894599752562726,92.74443817138672,41.745601654052734,-1.0505519698470749,1.1489992247271326,-0.011457163665159316,-0.024392091324808195
20.0,10.0,93.07890659223686,24.16217257532682,92.8794937133789,26.48362159729004,0.19940561670804005,-2.3214487992907404,0.0021423287402977643,0.035260106387118746
30.0,0.0,100.78531675447103,32.63859380668279,99.26527404785156,34.066375732421875,1.5200396974654988,-1.4277840561724542,0.015081955848474991,0.024891022569436164
30.0,10.0,102.39627329756986,11.448458149944322,101.89286041259766,16.28908348083496,0.50340880648209,-4.840626067640015,0.004916280546843272,0.061623565287618656
40.0,0.0,110.27520811881051,21.038551258676545,110.08971405029297,20.816635131835938,0.18548824630380542,0.22191393275646848,0.0016820484809601118,-0.003217941861820139
50.0,0.0,118.75861747937323,8.305147817311731,118.19207000732422,9.778826713562012,0.5665515529930336,-1.4736792673987766,0.00477061425114212,0.018038826535891082
