P1,P2,theta1,theta2
0.0,0.0,74.43072778944772,59.086983688689685
0.0,10.0,74.62121660890863,44.51817706534649
0.0,20.0,73.48240619561278,27.46652559613233
0.0,30.0,73.6747370325377,12.419384638040752
10.0,0.0,84.11521941043011,49.32287781023332
10.0,10.0,85.29171053295444,28.36871054408881
10.0,20.0,85.36440085506781,16.95127385846346
20.0,0.0,93.01634597535332,39.45873192750539
20.0,10.0,93.9630121922386,18.882230612986334
20.0,20.0,94.10265754632816,6.103855701303521
30.0,0.0,101.30959576124312,30.250800152857902
40.0,0.0,109.636000758145,22.04029060341863
50.0,0.0,117.7725563799822,11.607659287562866
