time,theta1,theta2
0.0,1.5707963267948966,0.0
0.001,1.5705791150550992,0.0010753376216920782
0.002,1.5701469361782097,0.0032191818647913
0.003,1.5695044455466387,0.006412609166384325
0.004,1.5686581349975957,0.01062557161064372
0.005,1.5676131808280507,0.01583415583784089
0.006,1.5663698039645195,0.022037691565176865
0.007,1.5649324440596375,0.029215966025044372
0.008,1.5633059726128267,0.03734705724555517
0.009000000000000001,1.5614955403320958,0.04640813703320691
0.010000000000000002,1.559506651300726,0.056375211388352206
0.011000000000000003,1.5573452324168253,0.06722287751237263
0.012000000000000004,1.5550176960527913,0.07892410427128858
0.013000000000000005,1.5525309938258418,0.09145004313922916
0.014000000000000005,1.5498926594043885,0.10476987650514298
0.015000000000000006,1.547110838416719,0.11885070972684558
0.016000000000000007,1.5441943037900876,0.13365751242018917
0.017000000000000008,1.5411524552323415,0.14915311317162966
0.01800000000000001,1.5379953020655264,0.16529825019175154
0.01900000000000001,1.5347334292102301,0.1820516784581502
0.02000000000000001,1.5313779467677262,0.19937033173934302
0.02100000000000001,1.5279404243122512,0.21720953568769893
0.022000000000000013,1.5244328116408108,0.2355232660955534
0.023000000000000013,1.5208673482855923,0.2542644445806454
0.024000000000000014,1.5172564645326927,0.2733852625417847
0.025000000000000015,1.5136126769790599,0.292837523305192
0.026000000000000016,1.5099484817798008,0.312572992021646
0.027000000000000017,1.5062762486883068,0.3325437430781976
0.028000000000000018,1.5026081187849094,0.3527024955099274
0.02900000000000002,1.4989559084514785,0.3730029280499085
0.03000000000000002,1.4953310217136906,0.39339996692371854
0.03100000000000002,1.4917443725780484,0.4138500411496814
0.03200000000000002,1.4882063184753809,0.43431130182003364
0.03300000000000002,1.4847266054208645,0.45474380349754034
0.03400000000000002,1.4813143250404583,0.4751096473751226
0.035000000000000024,1.4779778832149901,0.49537308714792966
0.036000000000000025,1.474724979767783,0.515500599600461
0.037000000000000026,1.471562598374022,0.5354609227032271
0.03800000000000003,1.4684970056981783,0.5552250645519198
0.03900000000000003,1.4655337586633144,0.5747662867901224
0.04000000000000003,1.4626777187135784,0.5940600662667864
0.04100000000000003,1.4599330719378123,0.6130840386292907
0.04200000000000003,1.4573033539667066,0.6318179273797968
0.04300000000000003,1.4547914786278038,0.6502434616625016
0.04400000000000003,1.4523997694324096,0.6683442857338491
0.04500000000000003,1.4501299930681844,0.6861058627232319
0.046000000000000034,1.4479833941744578,0.7035153749392921
0.047000000000000035,1.4459607307792846,0.7205616226325011
0.048000000000000036,1.4440623098744418,0.7372349227995469
0.04900000000000004,1.4422880226946182,0.7535270093164813
0.05000000000000004,1.4406373793486391,0.7694309354197301
0.05100000000000004,1.4391095425230367,0.7849409793185753
0.05200000000000004,1.4377033600415907,0.8000525535194093
0.05300000000000004,1.4364173961189302,0.8147621182694892
0.05400000000000004,1.435249961192488,0.8290670993838124
0.05500000000000004,1.4341991402557843,0.8429658106003464
0.05600000000000004,1.4332628196479678,0.8564573805132468
0.057000000000000044,1.4324387122806028,0.8695416840579285
0.058000000000000045,1.4317243813036415,0.8822192784630767
0.059000000000000045,1.4311172622291048,0.894491343540281
0.060000000000000046,1.430614683543904,0.9063596261495417
0.06100000000000005,1.4302138783865643,0.9178264017215908
0.06200000000000005,1.4299120250308406,0.9288943864882833
0.06300000000000004,1.4297062401063836,0.9395667341968978
0.06400000000000004,1.4295936014832344,0.9498469813941269
0.06500000000000004,1.4295711620656997,0.9597390098035639
0.06600000000000004,1.4296359623959165,0.9692470116640605
0.06700000000000005,1.429785042127733,0.9783754578295938
0.06800000000000005,1.4300154504310782,0.9871290684388982
0.06900000000000005,1.430324255386032,0.9955127859718014
0.07000000000000005,1.4307085524244711,1.0035317505185457
0.07100000000000005,1.431165471875554,1.0111912770980651
0.07200000000000005,1.4316921856694962,1.0184968348709678
0.07300000000000005,1.432285913252151,1.0254540281026714
0.07400000000000005,1.4329439267608883,1.0320685787416004
0.07500000000000005,1.4336635555102033,1.0383463104864887
0.07600000000000005,1.434442189833419,1.0442931342255701
0.07700000000000005,1.4352772843247856,1.0499150347387287
0.07800000000000006,1.4361663605242527,1.0552180585615119
0.07900000000000006,1.4371070090852072,1.0602083029172518
0.08000000000000006,1.4380968914635364,1.0648919056304134
0.08100000000000006,1.4391337411645002,1.0692750359406902
0.08200000000000006,1.4402153645820919,1.0733638861433188
0.08300000000000006,1.4413396414638129,1.0771646639866048
0.08400000000000006,1.4425045250321145,1.0806835857627608
0.08500000000000006,1.4437080417921437,1.083926870032886
0.08600000000000006,1.4449482910538833,1.086900731931286
0.08700000000000006,1.4462234441952926,1.0896113779983674
0.08800000000000006,1.447531743691641,1.092065001495066
0.08900000000000007,1.4488715019348575,1.0942677781552204
0.09000000000000007,1.4502410998654276,1.096225862335485
0.09100000000000007,1.4516389854381229,1.0979453835253246
0.09200000000000007,1.4530636719416508,1.0994324431823699
0.09300000000000007,1.4545137361911846,1.1006931118609489
0.09400000000000007,1.4559878166116345,1.101733426603968
0.09500000000000007,1.4574846112284754,1.1025593885705123
0.09600000000000007,1.4590028755819573,1.1031769608735906
0.09700000000000007,1.4605414205795482,1.1035920666043633
0.09800000000000007,1.4620991103005565,1.1038105870209938
0.09900000000000007,1.4636748597659839,1.1038383598819559
0.10000000000000007,1.4652676326858178,1.103681177905217
0.10100000000000008,1.4668764391951536,1.1033447873362239
0.10200000000000008,1.4685003335897548,1.1028348866090378
0.10300000000000008,1.4701384120708996,1.1021571250863127
0.10400000000000008,1.4717898105086382,1.1013171018650876
0.10500000000000008,1.4734537022318768,1.1003203646365847
0.10600000000000008,1.4751292958530342,1.0991724085893553
0.10700000000000008,1.4768158331343535,1.0978786753462242
0.10800000000000008,1.4785125869023281,1.0964445519265316
0.10900000000000008,1.4802188590160823,1.0948753697261735
0.11000000000000008,1.4819339783949637,1.093176403508901
0.11100000000000008,1.4836572991100274,1.0913528704032465
0.11200000000000009,1.4853881985435513,1.089409928900315
0.11300000000000009,1.4871260756201778,1.0873526778485054
0.11400000000000009,1.4888703491127742,1.0851861554420072
0.11500000000000009,1.4906204560256067,1.082915338200667
0.11600000000000009,1.4923758500569464,1.0805451399395176
0.11700000000000009,1.4941360001427677,1.0780804107269282
0.11800000000000009,1.4959003890827636,1.0755259358309568
0.11900000000000009,1.49766851224948,1.0728864346540672
0.12000000000000009,1.4994398763809702,1.0701665596569192
0.1210000000000001,1.5012139984569906,1.06737089527244
0.1220000000000001,1.5029904046583882,1.0645039568118517
0.1230000000000001,1.5047686294089988,1.0615701893647533
0.1240000000000001,1.5065482144990396,1.0585739666957346
0.12500000000000008,1.508328708288681,1.0555195901403525
0.12600000000000008,1.5101096649901986,1.0524112875035985
0.12700000000000009,1.5118906440268425,1.0492532119642561
0.12800000000000009,1.5136712094663136,1.046049440988775
0.1290000000000001,1.5154509295265213,1.0428039752584795
0.1300000000000001,1.517229376151091,1.0395207376140807
0.1310000000000001,1.5190061246519042,1.0362035720215848
0.1320000000000001,1.5207807534158029,1.0328562425637617
0.1330000000000001,1.52255284367244,1.0294824324613991
0.1340000000000001,1.5243219793201417,1.0260857431285715
0.1350000000000001,1.5260877468065486,1.0226696932661414
0.1360000000000001,1.5278497350607148,1.0192377179976633
0.1370000000000001,1.529607535473291,1.015793168051782
0.1380000000000001,1.5313607419213662,1.012339308995116
0.1390000000000001,1.5331089508345241,1.0088793205194864
0.1400000000000001,1.5348517612986567,1.0054162957871962
0.1410000000000001,1.5365887751940888,1.0019532408378966
0.1420000000000001,1.5383195973645944,0.9984930740603717
0.1430000000000001,1.54004383581392,0.9950386257323663
0.1440000000000001,1.5417611019264879,0.991592637631349
0.1450000000000001,1.54347101070902,0.9881577627188549
0.1460000000000001,1.5451731810498994,0.9847365649007992
0.1470000000000001,1.5468672359931837,0.9813315188658799
0.1480000000000001,1.5485528030242754,0.9779450100039144
0.1490000000000001,1.5502295143643827,0.9745793344056687
0.1500000000000001,1.5518970072710025,0.9712366989454483
0.1510000000000001,1.5535549243418048,0.9679192214474313
0.1520000000000001,1.5552029138194148,0.964628930936426
0.1530000000000001,1.5568406298947386,0.9613677679734465
0.1540000000000001,1.5584677330066155,0.9581375850762046
0.1550000000000001,1.5600838901357283,0.9549401472243331
0.1560000000000001,1.5616887750908544,0.9517771324488687
0.1570000000000001,1.5632820687856839,0.9486501325052502
0.1580000000000001,1.564863459504592,0.9455606536288155
0.1590000000000001,1.566432643155897,0.9425101173715257
0.16000000000000011,1.567989323511286,0.9394998615183912
0.16100000000000012,1.5695332124302424,0.9365311410818373
0.16200000000000012,1.571064030068452,0.9336051293720216
0.16300000000000012,1.57258150506931,0.9307229191408979
0.16400000000000012,1.5740853747377888,0.9278855237976253
0.16500000000000012,1.5755753851960619,0.9250938786927289
0.16600000000000012,1.5770512915204116,0.9223488424682492
0.16700000000000012,1.5785128578590724,0.9196511984709598
0.16800000000000012,1.5799598575307825,0.9170016562255864
0.16900000000000012,1.5813920731039288,0.9144008529648363
0.17000000000000012,1.5828092964562837,0.9118493552129326
0.17100000000000012,1.5842113288154267,0.9093476604192493
0.17200000000000013,1.585597980780047,0.9068961986385632
0.17300000000000013,1.5869690723224092,0.9044953342543689
0.17400000000000013,1.588324432772342,0.9021453677416512
0.17500000000000013,1.5896639007831976,0.8998465374654705
0.17600000000000013,1.5909873242802852,0.8975990215116925
