time,theta1,theta2,theta3
0.0,1.5707963267948966,0.0,0.0
0.08016032064128256,1.374457759069898,0.8218292056789392,-1.2807963978985275
0.16032064128256512,1.2688499354810125,1.3135826944637992,-1.8315976957186615
0.24048096192384769,1.2192003471232562,1.3425205417722226,-1.7622344129253416
0.32064128256513025,1.2085290586967532,1.1111909613943298,-1.2736535256308292
0.4008016032064128,1.2363705547831063,0.9409760883374388,-0.8431077778465315
0.48096192384769537,1.2828715564046063,1.0081568743262017,-0.9826061911147199
0.561122244488978,1.338475176277215,1.0576073911429782,-1.0815201140836612
0.6412825651302605,1.3712536477409127,1.0086091223850222,-0.8651301005918883
0.721442885771543,1.3793436287282101,0.9582677668610784,-0.6215019059218383
0.8016032064128256,1.3701975059496658,0.9952099518675581,-0.6821045284327399
0.8817635270541082,1.3513377912603513,1.0272662267699135,-0.8374517759239656
0.9619238476953907,1.3250043716414357,1.024821193259491,-0.9630158525867651
1.0420841683366733,1.2925627963614619,1.0279048037820926,-1.0829637075184952
1.122244488977956,1.257384461887589,1.0562856107488545,-1.181466733850069
1.2024048096192383,1.2304028082847585,1.091042311905623,-1.2132946701473675
1.282565130260521,1.225540391771309,1.1020688596416668,-1.162955733678505
1.3627254509018036,1.2487481203484856,1.0790674186739682,-1.0587653003206
1.442885771543086,1.2927687473275558,1.0378680425185873,-0.9521280262405991
1.5230460921843687,1.3394917274002824,1.0022404178400937,-0.8739960266127182
1.6032064128256511,1.3695954127834424,0.9851757892673674,-0.8181569338704507
1.6833667334669338,1.3736176154343747,0.9883511404689226,-0.7820863217085944
1.7635270541082164,1.3556427704003415,1.0064749637154025,-0.7900853176985301
1.8436873747494988,1.3279488140123126,1.0276770114055964,-0.8608831973813748
1.9238476953907815,1.3017845752317088,1.0407588552545943,-0.9785731599326047
2.004008016032064,1.2806184287206193,1.0474216286076528,-1.0999264099035095
2.0841683366733466,1.2624201831302448,1.058636770901636,-1.1760948225812058
2.164328657314629,1.2490829648730062,1.0741525423396385,-1.1749787605703002
2.244488977955912,1.2488635915195143,1.078527585649431,-1.0997985748628396
2.3246492985971945,1.2683202146692185,1.0625139176305596,-0.9937826378032999
2.4048096192384767,1.303897927892257,1.034228357181623,-0.9105577929340029
2.4849699398797593,1.3410834945202745,1.0073480490452666,-0.8651109417255982
2.565130260521042,1.3630447636490814,0.9923485316462901,-0.8396488596488896
2.6452905811623246,1.361586082705937,0.9953581384718776,-0.8298342345617985
2.7254509018036073,1.3411835978231517,1.0133429172821302,-0.8520550098275652
2.8056112224448895,1.3139124890980127,1.0344608630437913,-0.9166972896367933
2.885771543086172,1.290486148279475,1.0481860375161178,-1.0101278469992823
2.9659318637274548,1.2745967026762568,1.0545066674011623,-1.0987951554411113
3.0460921843687374,1.2647830052016285,1.0601790561971858,-1.1450140337406356
3.12625250501002,1.2610924379035562,1.0655414043320837,-1.1262248081651702
3.2064128256513023,1.2673533887874566,1.0626547276564957,-1.0509979120791517
3.286573146292585,1.2864388916625942,1.0481107939437664,-0.9598886613520897
3.3667334669338675,1.314476291756744,1.0280315522210821,-0.8952385244139971
3.44689378757515,1.34052793272807,1.0102666236125197,-0.8649968807702318
3.527054108216433,1.3530986023242146,1.0013822110080657,-0.8558090150117141
3.6072144288577155,1.3475393518187107,1.0058199629228215,-0.8648678501574866
3.6873747494989977,1.3283177093690495,1.0210478873278996,-0.8996613539403293
3.7675350701402803,1.3049306809974381,1.0383076491916048,-0.9606130583868534
3.847695390781563,1.2855349250660093,1.0503707999790786,-1.0329399081376942
3.9278557114228456,1.2734172359292124,1.0566381518006263,-1.0910371153807867
4.008016032064128,1.2684676871149352,1.0597041407892929,-1.1099319012745053
4.0881763527054105,1.2707595888915455,1.0589803787510432,-1.0791005235668012
4.168336673346693,1.281414914224171,1.051527863891656,-1.0120362252695716
4.248496993987976,1.2999505233261524,1.038123747891425,-0.9411753297818042
4.328657314629258,1.321553600647092,1.023615226135156,-0.8935134053171031
4.408817635270541,1.338153192570943,1.0127805792711115,-0.8731319017158082
4.488977955911824,1.34298891124521,1.0094872303030116,-0.8737923072988096
4.569138276553106,1.3346904658030738,1.0155082251510814,-0.89434210961628
4.649298597194389,1.3176551533135392,1.0280027826218712,-0.9354073519706505
4.729458917835671,1.2988178113257105,1.041145755185079,-0.9904920225304237
4.809619238476953,1.2837911265246984,1.0507291331874746,-1.044261330268766
4.889779559118236,1.2752101450542692,1.0559466390913594,-1.0776213812431885
4.969939879759519,1.2737432431844973,1.0569701144150854,-1.0763806319417006
5.050100200400801,1.2795477928588868,1.0529480938923073,-1.0398021936481485
5.130260521042084,1.2921205084003609,1.0437466219969223,-0.9835489065221682
5.210420841683367,1.30891603316324,1.0319843258698627,-0.9310236305612086
5.290581162324649,1.3248757031288771,1.021585163591347,-0.8976700930072485
5.370741482965932,1.3342725557044155,1.0157281049663944,-0.8859031811523631
5.4509018036072145,1.333759658775357,1.0163525565789313,-0.8937788064581076
5.531062124248497,1.3241230667632067,1.0232199300046445,-0.9202739700935969
5.611222444889779,1.3094779511512618,1.0334200619658565,-0.961731770011366
5.691382765531062,1.2948067988264111,1.0432254626618664,-1.0083383741653964
5.771543086172344,1.2838476221533353,1.050321214952027,-1.0457921014309899
5.851703406813627,1.2785910020052969,1.0538200615780289,-1.0606410746901083
5.9318637274549095,1.2798414596884464,1.0530019178867354,-1.0468189813633348
6.012024048096192,1.2875122639804484,1.0474201689024787,-1.0096977229845727
6.092184368737475,1.3000980259086785,1.0383040564745665,-0.9642868704132014
6.1723446893787575,1.3142041681567247,1.0286270043397374,-0.9264360842099053
6.25250501002004,1.3252604865442328,1.0215292168837085,-0.9046687467750862
6.332665330661323,1.3294849067415266,1.0191362819313607,-0.9006284728827658
6.4128256513026045,1.3257455298141905,1.0220484697000134,-0.9138495357294273
6.492985971943887,1.3159217557533076,1.0289586644573485,-0.942390578239073
6.57314629258517,1.3036457286458591,1.037245631497286,-0.9802611683726894
6.6533066132264524,1.2925183433995018,1.0445108450822636,-1.0169469672762013
6.733466933867735,1.2850641721506944,1.0493888818950872,-1.0404861887256491
6.813627254509018,1.2827012088900618,1.0510368402550352,-1.0424300199139447
6.8937875751503,1.285970582292305,1.0487514553838564,-1.0222051886646086
6.973947895791583,1.2943375134462294,1.042696231167137,-0.9879490272287149
7.054108216432866,1.3057472627217617,1.0346072907685473,-0.9523689934155601
7.134268537074148,1.3167598592061955,1.027169896314745,-0.9258783692515149
7.214428857715431,1.323723560341311,1.022772127909932,-0.9132719359312271
7.294589178356713,1.3244191401034922,1.0226939710772776,-0.9156153963945203
7.374749498997995,1.3190321460457561,1.0266853653538597,-0.9322839025453048
7.454909819639278,1.309810952031119,1.033078411627156,-0.9601259481645299
7.535070140280561,1.2998014237950217,1.03972427887841,-0.9922111947017355
7.615230460921843,1.2916393116529514,1.0450130181296018,-1.0188997029790618
7.695390781563126,1.28706771699684,1.0480134283876767,-1.0312271313759398
7.775551102204409,1.2870097166524301,1.0480539677092613,-1.0249025018150897
7.855711422845691,1.291581771616137,1.0448125940607549,-1.00264236177767
7.935871743486974,1.2998012037492879,1.0389588701735428,-0.9730313834445226
8.016032064128256,1.3094105020126252,1.0322878925964682,-0.945976608924068
8.09619238476954,1.3173856919015536,1.0269813659695453,-0.9282750243436403
8.176352705410821,1.3211147661427634,1.0247178936696988,-0.9227524727918115
8.256513026052104,1.3195566880507132,1.0260840728847485,-0.929817020416197
8.336673346693386,1.3135974370316674,1.0303663800833873,-0.9480359567977361
8.41683366733467,1.305436471775914,1.035947022121526,-0.9733158204718704
8.496993987975952,1.2975358491948943,1.0411550059317123,-0.9987589571913981
8.577154308617233,1.2918415854233014,1.0448422150379262,-1.0164137602753873
8.657314629258517,1.2895550992988738,1.0463170186639503,-1.0203237595570005
8.737474949899799,1.2911651669547546,1.045162537506731,-1.0093216882544598
8.817635270541082,1.2963622075803265,1.0414809502796383,-0.9877595006814942
8.897795591182364,1.3038528617336238,1.0362325201314988,-0.9633804166056374
8.977955911823647,1.3114529942996094,1.031050926244136,-0.9435366844679253
9.05811623246493,1.3167493061566344,1.0275935377188135,-0.9326884149401659
9.138276553106213,1.3180788851788912,1.0269130601614478,-0.9324581531411494
9.218436873747494,1.315215325529273,1.0290833137065485,-0.9425280458822628
9.298597194388778,1.309355575532448,1.0331994919238416,-0.9606427667730815
9.37875751503006,1.3024619621349676,1.037860850875295,-0.9822491411787855
9.458917835671341,1.2964711131115505,1.0417987599673955,-1.0011192758923977
9.539078156312625,1.2928073897939572,1.044164627968991,-1.011268586066247
9.619238476953907,1.2922547926642585,1.0444630865784472,-1.0093519427069118
9.69939879759519,1.2949324767962764,1.0425488566033332,-0.996298173633116
9.779559118236472,1.3001915347623971,1.0388492814288277,-0.976950758177321
9.859719438877756,1.3066060560830193,1.0344191763277972,-0.9577074807139867
9.939879759519037,1.312249898691669,1.0306341071013851,-0.9438605760254084
10.02004008016032,1.3179049031668888,1.0169051399414195,-0.9235998057153736
10.100200400801603,1.375760765950667,0.8236345991051693,-0.762441179331642
10.180360721442886,1.4596515294694403,0.6657886239807388,-0.8862184121974882
10.260521042084168,1.4812208557821218,0.6670100274900836,-1.0994690214031855
10.34068136272545,1.4248737659584463,0.7543974086932609,-1.0344960822746827
10.420841683366733,1.3560264651278837,0.8102605733339676,-0.7644997485719107
10.501002004008015,1.3392587383550878,0.8478507044441506,-0.7612594727781021
10.581162324649299,1.3844417689895383,0.8156078707275237,-0.9583589006672003
10.66132264529058,1.4375202764494894,0.7266477880624239,-1.0346004944898954
10.741482965931864,1.4402796470829888,0.7082786243822761,-0.9570720998061131
10.821643286573146,1.4053699053492903,0.761693325742304,-0.8299293632668946
10.901803607214429,1.3833847001079589,0.8117296744961432,-0.794861289736676
10.98196392785571,1.3962947698165773,0.8060817351065868,-0.8614101104742885
11.062124248496994,1.4247954063314383,0.7556143488175425,-0.9327110066160177
11.142284569138276,1.4330621192779507,0.729358625000359,-0.9544114387586121
11.222444889779558,1.4111086215783915,0.7543822768502015,-0.92108135075906
11.302605210420841,1.3836951402874167,0.7920547123336039,-0.8743492261142941
11.382765531062123,1.376742327623878,0.8059705885201432,-0.8770873745643825
11.462925851703407,1.3926805283086359,0.7870386807866934,-0.9203433914987074
11.543086172344688,1.4123768983541758,0.7580005879065955,-0.9448412606314673
11.623246492985972,1.4173076529894246,0.7506181472014203,-0.9231905882753861
11.703406813627254,1.4091602994677075,0.7656226395021973,-0.8785981667148611
11.783567134268537,1.402724246819122,0.7810208531243547,-0.8581836534182359
11.863727454909819,1.406393037652803,0.7799587753970242,-0.8775455963929397
11.943887775551103,1.4145040726167268,0.7656378879544959,-0.9082845876679637
12.024048096192384,1.4155340463468649,0.7574825817799178,-0.9214710172723113
12.104208416833666,1.4061646429117933,0.7655720160574078,-0.9127320485884995
12.18436873747495,1.394730754021781,0.7799244074773388,-0.8994510597084522
12.264529058116231,1.3911046411300065,0.7860140106932129,-0.9004338945604115
12.344689378757515,1.396877234110416,0.7794202546380267,-0.9128313152288652
12.424849699398797,1.4053709965781762,0.7683914049732988,-0.9185951624948626
12.50501002004008,1.4095981689579224,0.7638979409472568,-0.9083200866729492
12.585170340681362,1.4089824310620198,0.7675356331587808,-0.8906278039208876
12.665330661322646,1.4077706890985597,0.7723955711032986,-0.8818058719168376
12.745490981963927,1.4088051756343123,0.7723677349039271,-0.8880051318851793
12.825651302605209,1.410452082371943,0.7684179016956549,-0.9007614198215612
12.905811623246493,1.409214255284023,0.7665780497914711,-0.9088622248397472
12.985971943887774,1.4043537313156926,0.7700841161365755,-0.9090072156220679
13.066132264529058,1.3990584240233983,0.7757703609671135,-0.9062534863666248
13.14629258517034,1.397157358647661,0.7783353513054113,-0.906512368718568
13.226452905811623,1.3995033928146625,0.7759140449283021,-0.9092471377678748
13.306613226452905,1.4037165919221715,0.7713182283241227,-0.9090765661630403
13.386773547094188,1.4069158932056085,0.7685724289055174,-0.9032380412871958
13.46693386773547,1.4082213774230385,0.7688132851305277,-0.8952149520828675
13.547094188376754,1.4085690760680718,0.7700822851194277,-0.8910863089597416
13.627254509018035,1.4087945749754087,0.7702865876771029,-0.8934015109376177
13.707414829659317,1.4085035190494255,0.7695655674393159,-0.8993953432816069
13.7875751503006,1.4068235182406295,0.7696992103212257,-0.9045946152631927
13.867735470941883,1.4038660417901678,0.7716051000187025,-0.9068894246503896
13.947895791583166,1.40106831683587,0.7741033712771759,-0.9072478358764405
14.028056112224448,1.4000344161183318,0.7752184849136348,-0.9073499384897168
14.108216432865731,1.4011944734228796,0.7741785494199609,-0.9071946016473548
14.188376753507013,1.4036182590432433,0.7719806751051388,-0.9054266525570659
14.268537074148297,1.40596930627746,0.7702208000690826,-0.9016117693242334
14.348697394789578,1.4074959313991018,0.7696196558222078,-0.897411182366288
14.428857715430862,1.4081679693179492,0.7697540292463618,-0.8953037508851943
14.509018036072144,1.4081455322503214,0.7699584288766138,-0.89640134879221
14.589178356713425,1.4073912250538658,0.770170010133966,-0.8996944418759992
14.669338677354709,1.4058504843280644,0.7708127270451358,-0.9032127100269481
14.74949899799599,1.4038608091128004,0.7720299445526264,-0.9056006734127438
14.829659318637274,1.4021968281918855,0.7732845542385763,-0.9066530061811651
14.909819639278556,1.4016123023318916,0.7737918051819472,-0.9066951776291693
14.98997995991984,1.4023209185498025,0.7732342155662464,-0.9058218187501452
15.070140280561121,1.4038939904842043,0.7720075171480213,-0.9039043070556466
15.150300601202405,1.4056143545396056,0.7708229718369641,-0.9012134044594928
15.230460921843687,1.4069128132783353,0.7701385768902973,-0.8987127601831615
15.31062124248497,1.407533809603278,0.7699712161138768,-0.8975469126314749
15.390781563126252,1.4074367603129214,0.7701391609659722,-0.898226389928865
15.470941883767534,1.4066759014529422,0.7705535611861484,-0.9003059338512325
15.551102204408817,1.4054162833133488,0.7712292829505094,-0.9027824090234844
15.631262525050099,1.404006916611625,0.7720765957612429,-0.9047521113645589
15.711422845691382,1.402930946666173,0.7727946254893089,-0.9057692451826959
15.791583166332664,1.4025922733141074,0.7730352779136882,-0.9057678243933613
15.871743486973948,1.4030946582014496,0.7726707125500737,-0.9048408276488443
15.95190380761523,1.4041965461571126,0.7718914146798117,-0.9031895682460125
16.03206412825651,1.4054588841132325,0.7710634257246075,-0.9012307812601715
16.112224448897795,1.4064629743750212,0.7704893807418944,-0.8996028836680985
16.19238476953908,1.406947871737536,0.7702845354613962,-0.8989165202730093
16.27254509018036,1.406832404259922,0.7704199448303389,-0.8994199447216077
16.352705410821642,1.406185482787958,0.7708203250279038,-0.9008608596838178
16.432865731462925,1.4052031000306635,0.7713955906090374,-0.9026466119071046
16.51302605210421,1.404182743558524,0.772006765223254,-0.9041533375597914
16.59318637274549,1.4034525250334369,0.7724590495700684,-0.9049634384496816
16.673346693386772,1.4032539296322122,0.7725768286672213,-0.9049291803907379
16.753507014028056,1.4036376738701781,0.7723088546907017,-0.9041284477145357
16.83366733466934,1.4044418242712557,0.7717700108854861,-0.902812554560016
16.91382765531062,1.4053705471036229,0.7711775442520293,-0.9013713868665683
16.993987975951903,1.4061182767723541,0.7707381994126253,-0.9002571448991692
17.074148296593187,1.4064722459254493,0.7705672892208981,-0.89983727573494
17.154308617234467,1.4063585013832396,0.7706777794915479,-0.9002387697133258
17.23446893787575,1.405840359406829,0.771011129642784,-0.9012888854361605
17.314629258517034,1.4050904923662255,0.771466033655776,-0.9025949925709628
17.394789579158317,1.404344966429205,0.7719128111231728,-0.9037137031690955
