time,theta1,theta2,theta3
22.023000000003933,1.468271691411507,0.8231180737518384,-0.9700490095556575
22.024000000003934,1.4684375965466097,0.8230053570295499,-0.9699276681817761
22.025000000003935,1.4686022279335156,0.8228935572552478,-0.969807330629989
22.026000000003936,1.4687655756224813,0.8227826847261193,-0.9696880028861927
22.027000000003937,1.4689276297718674,0.8226727496301549,-0.9695696909431113
22.02800000000394,1.4690883806489419,0.8225637620444207,-0.9694524007988462
22.02900000000394,1.4692478186306683,0.8224557319333554,-0.9693361384554211
22.03000000000394,1.4694059342044792,0.8223486691470958,-0.9692209099173228
22.031000000003942,1.4695627179690334,0.8222425834198289,-0.9691067211900385
22.032000000003944,1.4697181606349583,0.822137484368173,-0.968993578278591
22.033000000003945,1.469872253025578,0.8220333814895862,-0.9688814871860717
22.034000000003946,1.470024986077624,0.8219302841608038,-0.9687704539121728
22.035000000003947,1.4701763508419325,0.8218282016363057,-0.9686604844517189
22.03600000000395,1.470326338484125,0.8217271430468116,-0.9685515847931999
22.03700000000395,1.4704749402852726,0.8216271173978079,-0.9684437609173041
22.03800000000395,1.4706221476425463,0.8215281335681033,-0.968337018795454
22.039000000003952,1.4707679520698518,0.8214302003084155,-0.9682313643883441
22.040000000003953,1.4709123451984456,0.8213333262399887,-0.9681268036444831
22.041000000003955,1.4710553187775393,0.821237519853242,-0.9680233424987388
22.042000000003956,1.4711968646748848,0.8211427895064497,-0.9679209868708886
22.043000000003957,1.4713369748773464,0.8210491434244526,-0.9678197426641756
22.044000000003958,1.4714756414914545,0.8209565896974018,-0.9677196157638699
22.04500000000396,1.4716128567439446,0.8208651362795347,-0.9676206120358375
22.04600000000396,1.471748612982281,0.8207747909879831,-0.9675227373251161
22.047000000003962,1.4718829026751634,0.8206855615016145,-0.967425997454499
22.048000000003963,1.4720157184130178,0.8205974553599062,-0.9673303982231275
22.049000000003964,1.4721470529084715,0.8205104799618527,-0.9672359454050928
22.050000000003966,1.4722768989968125,0.820424642564906,-0.9671426447480476
22.051000000003967,1.4724052496364322,0.8203399502839502,-0.9670505019718277
22.052000000003968,1.4725320979092518,0.8202564100903097,-0.9669595227670853
22.05300000000397,1.472657437021134,0.8201740288107906,-0.9668697127939331
22.05400000000397,1.4727812603022774,0.8200928131267575,-0.9667810776806007
22.05500000000397,1.472903561207595,0.8200127695732435,-0.9666936230221038
22.056000000003973,1.4730243333170772,0.8199339045380952,-0.966607354378926
22.057000000003974,1.4731435703361382,0.8198562242611518,-0.9665222772757144
22.058000000003975,1.4732612660959468,0.8197797348334591,-0.9664383971999895
22.059000000003977,1.4733774145537406,0.8197044421965186,-0.9663557196008692
22.060000000003978,1.473492009793125,0.8196303521415705,-0.966274249887808
22.06100000000398,1.4736050460243553,0.8195574703089127,-0.9661939934293513
22.06200000000398,1.4737165175846034,0.8194858021872538,-0.9661149555519064
22.06300000000398,1.4738264189382082,0.819415353113102,-0.9660371415385283
22.064000000003983,1.4739347446769109,0.8193461282701886,-0.9659605566277234
22.065000000003984,1.4740414895200729,0.8192781326889266,-0.9658852060122697
22.066000000003985,1.474146648314879,0.8192113712459047,-0.9658110948380543
22.067000000003986,1.4742502160365252,0.8191458486634166,-0.9657382282029288
22.068000000003988,1.4743521877883885,0.8190815695090244,-0.9656666111555824
22.06900000000399,1.4744525588021833,0.8190185381951591,-0.9655962486944338
22.07000000000399,1.4745513244381014,0.818956758978754,-0.9655271457665419
22.07100000000399,1.4746484801849356,0.8188962359609148,-0.9654593072665342
22.072000000003992,1.474744021660188,0.8188369730866241,-0.9653927380355563
22.073000000003994,1.4748379446101634,0.8187789741444809,-0.9653274428602391
22.074000000003995,1.4749302449100465,0.8187222427664753,-0.9652634264716872
22.075000000003996,1.4750209185639638,0.8186667824277974,-0.9652006935444857
22.076000000003997,1.4751099617050305,0.8186125964466819,-0.9651392486957286
22.077000000004,1.4751973705953805,0.8185596879842861,-0.9650790964840666
22.078000000004,1.4752831416261836,0.8185080600446037,-0.9650202414087754
22.079000000004,1.4753672713176456,0.8184577154744124,-0.9649626879088453
22.080000000004002,1.475449756318994,0.8184086569632552,-0.9649064403620911
22.081000000004003,1.4755305934084482,0.818360887043457,-0.9648515030842826
22.082000000004005,1.475609779493175,0.8183144080901745,-0.9647978803282973
22.083000000004006,1.4756873116092297,0.8182692223214799,-0.9647455762832929
22.084000000004007,1.4757631869214811,0.8182253317984781,-0.964694595073902
22.08500000000401,1.4758374027235222,0.8181827384254579,-0.9646449407594473
22.08600000000401,1.4759099564375675,0.8181414439500758,-0.9645966173331791
22.08700000000401,1.4759808456143342,0.8181014499635736,-0.9645496287215334
22.088000000004012,1.4760500679329083,0.8180627579010278,-0.9645039787834112
22.089000000004013,1.4761176212005993,0.8180253690416326,-0.9644596713094807
22.090000000004014,1.4761835033527766,0.8179892845090145,-0.964416710021499
22.091000000004016,1.476247712452695,0.8179545052715799,-0.9643750985716564
22.092000000004017,1.4763102466913038,0.8179210321428932,-0.9643348405419417
22.093000000004018,1.4763711043870442,0.8178888657820883,-0.9642959394435292
22.09400000000402,1.4764302839856291,0.8178580066943096,-0.9642583987161859
22.09500000000402,1.4764877840598134,0.8178284552311857,-0.9642222217277013
22.09600000000402,1.4765436033091472,0.8178002115913328,-0.9641874117733372
22.097000000004023,1.4765977405597173,0.8177732758208885,-0.9641539720752991
22.098000000004024,1.4766501947638737,0.8177476478140772,-0.964121905782228
22.099000000004025,1.476700964999945,0.817723327313803,-0.9640912159687135
22.100000000004027,1.4767500504719369,0.8177003139122749,-0.9640619056348271
22.101000000004028,1.4767974505092216,0.8176786070516585,-0.964033977705676
22.10200000000403,1.476843164566211,0.8176582060247588,-0.9640074350309776
22.10300000000403,1.4768871922220184,0.8176391099757301,-0.9639822803846537
22.10400000000403,1.4769295331801071,0.8176213179008147,-0.9639585164644446
22.105000000004033,1.476970187267926,0.8176048286491095,-0.9639361458915434
22.106000000004034,1.4770091544365334,0.81758964092336,-0.9639151712102495
22.107000000004035,1.4770464347602068,0.8175757532807804,-0.9638955948876414
22.108000000004036,1.4770820284360424,0.8175631641339025,-0.9638774193132689
22.109000000004038,1.4771159357835408,0.8175518717514492,-0.9638606467988636
22.11000000000404,1.477148157244181,0.8175418742592343,-0.963845279578069
22.11100000000404,1.4771786933809825,0.8175331696410882,-0.9638313198061875
22.11200000000404,1.4772075448780564,0.817525755739809,-0.963818769559947
22.113000000004043,1.4772347125401424,0.8175196302581371,-0.9638076308372842
22.114000000004044,1.4772601972921378,0.8175147907597559,-0.9637979055571457
22.115000000004045,1.4772840001786116,0.8175112346703146,-0.9637895955593072
22.116000000004046,1.4773061223633095,0.8175089592784764,-0.963782702604208
22.117000000004047,1.477326565128647,0.817507961736988,-0.9637772283728034
22.11800000000405,1.4773453298751908,0.8175082390637728,-0.9637731744664333
