k3,k4,l10,l20,RMSE_theta_1,RMSE_theta_2,MAE_theta_1,MAE_theta_2,MaxAE_theta_1,MaxAE_theta_2
325.6672485202838,376.4797169818147,0.1812323236001222,0.23292406739868274,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
171.16963653310899,355.3962324108564,0.15742864460687506,0.27655727287445225,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
296.955065567609,177.0506521693376,0.1655597464656767,0.20400132843678703,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
417.0363675850283,415.6138533662906,0.1410364659707915,0.27518013279531933,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
417.0966517637297,254.64642326523344,0.17586786051438003,0.25693638756518494,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
216.4407206150384,383.23739432401067,0.18898433935812017,0.29760933197072137,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
334.3800854340732,376.63031213769546,0.19919501080762442,0.23178148163453763,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
364.6282929826114,264.5249599722735,0.1877191840072353,0.22614624963877578,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
229.66469281857133,202.94530221651817,0.16231188996743184,0.23040415065769584,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
367.3892319869992,308.3479299049267,0.14946858555218392,0.22336381369907496,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
185.0068675326058,163.89196689216595,0.18432130555551413,0.28344674807955034,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
226.6645541481412,471.34485568574405,0.18118401064627593,0.2656531563893863,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
383.6212030302651,227.81070197438487,0.16852942385511735,0.2948850820385111,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
474.0017105561295,409.20353656684426,0.17370916353553953,0.27638325651500867,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
231.98118285331873,254.98160393998134,0.14305221407037927,0.20940459425342234,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
279.57876266705165,340.28886286145524,0.154908257910034,0.2553612250736649,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
365.9191681072534,434.99883625663045,0.15071619243179782,0.2245644523020953,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
305.5958179537711,456.584404362851,0.18790991704071824,0.2740699340149642,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
354.75486833617555,279.9767945603111,0.15240379471256077,0.2983800686296784,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
201.92426837726543,184.14915075087788,0.18561260215331082,0.264607740491404,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
315.5404759180943,381.54119900813293,0.14978861650941083,0.2819019304868244,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
211.23753490555993,348.8834862690226,0.18023017042004716,0.2806696010740699,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
451.7059403031295,228.04676322328703,0.18148208420563713,0.2632055144325029,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
314.991079805177,217.18692520048089,0.1619317597975606,0.28782604655979627,0.0012074445157198774,0.005062541623154537,0.0009360965607753599,0.004374945387866138,0.005421275903911393,0.018362384578428648
