k3,k4,l10,l20,RMSE_theta_1,RMSE_theta_2,MAE_theta_1,MAE_theta_2,MaxAE_theta_1,MaxAE_theta_2,valid_exp_num
217.43489508020943,281.3541586187115,0.15926904068742012,0.2686432746476925,0.0010970380549184412,0.005871595197821906,0.0009330723069727043,0.005755702745469605,0.0030930552106607223,0.010457869881873971,122
226.08716532272842,226.94295221744002,0.19669328188128665,0.20962765730170663,0.00114484534331773,0.006933567471493972,0.0009627765453289785,0.006789088781878351,0.003157487496957989,0.012019650134793725,131
320.44628505064077,161.3888308610165,0.16381888064920436,0.21295939803875877,0.0010397216706214724,0.008699209682074216,0.0008716862945720939,0.008451194235646529,0.0028190391709865814,0.014550243540671415,154
196.0607653396189,278.877441329846,0.19430166679261046,0.25246595360100604,0.0011798506170864066,0.006022858060036919,0.000994010072221883,0.005896241236165857,0.003254085599201151,0.010734634930205267,122
204.50240542498742,217.56280734617965,0.19443290054922857,0.22873368878105294,0.001211683421102372,0.007234951624727439,0.0010122742891808766,0.007084141283037775,0.0033442612527443405,0.012605981002528466,133
231.13827858982344,187.25922945750148,0.18371803138179493,0.2412651098106137,0.00119770852070188,0.008026891818797902,0.0009972615477360008,0.00784154630319236,0.003254550765934283,0.013743118203583371,144
384.6817135279121,368.8013199823303,0.1727247420742343,0.30083142693755377,0.0007388202094945496,0.004457680394228781,0.0006480316008033863,0.004393641839906958,0.0018318530930068189,0.007030406224640184,110
377.7229868841734,333.9213989089829,0.19523364754115968,0.2354187353026997,0.0007661554828030572,0.004846187561270078,0.0006706468723381986,0.004777552479439529,0.0018838463554531337,0.007582985896185279,114
427.0075221846476,348.14824891281256,0.1828504621604911,0.27250123883589455,0.0007041291949094399,0.004624035068484973,0.0006171209853175823,0.004559423179455472,0.001727902481519994,0.007172954734224024,112
170.88288526006215,455.06788059991726,0.1826567326651984,0.2422803086657008,0.001113864668333555,0.004217564871591908,0.0009526141098049466,0.004110837426871003,0.0032255042335371797,0.008241451401963695,106
305.25171283879683,361.31338082659374,0.13925332388100262,0.2375650085577168,0.0008839779183745865,0.0046975175437186795,0.0007639047468454646,0.004614698965456814,0.0024820086910921635,0.008246620828031126,113
294.69771332130557,317.9893689995459,0.189157823831574,0.226167808305772,0.0009118917856431374,0.005200644276508911,0.0007847393649724965,0.005111305473218607,0.002580903029290482,0.009041401830538864,116
372.32241853713356,457.9044727889229,0.1870088080183998,0.24235841091950724,0.0007132233776297736,0.0037693399955755465,0.0006306520941334817,0.00371551306852827,0.0018120511787165228,0.0060952126231942905,104
206.0833653832689,297.1051508658823,0.18602551134972703,0.2101544194357031,0.0011082694231977297,0.0056708883675188355,0.0009414866549896887,0.005557617415213055,0.0031452527357300752,0.010200714370208919,119
230.52511138479298,203.71565832730107,0.18247206678028807,0.29586648278612293,0.001172653000546325,0.007521041598702544,0.0009791513625252676,0.007353312914153825,0.0031981308446087375,0.012933791417815532,138
175.504902503838,419.20138785568906,0.16636018159101965,0.21894697697935966,0.0011090232423368914,0.00445054494993523,0.000946425624052265,0.004345619671732724,0.0032202727168457734,0.00857061085780536,106
324.3677442938735,246.34887338303773,0.14338211058336836,0.25249476510893015,0.0009422241124717863,0.0063232405739550475,0.0007988550629418267,0.006205175423588575,0.0025497876257654095,0.010579725892054748,129
235.54372260171388,302.16434220706094,0.20118405542342122,0.22151838969548707,0.001042015063985944,0.005541203225792932,0.0008883149192945889,0.005436884515100313,0.0029367293926774174,0.009816125208309934,118
324.6227289334489,204.1612636404313,0.1773589304849401,0.27679937900995616,0.0009861802639939317,0.007289851442479874,0.0008308955715944493,0.007132248199751826,0.002647332960538318,0.012141939506612631,140
333.2913997705431,310.10357461509375,0.14734376780655192,0.2983370053752968,0.0008643660193934526,0.005239284011539117,0.0007421627298861866,0.005149042561648831,0.002410574344182237,0.008947685744119027,120
395.66809314842385,210.32709107978002,0.16802667712204222,0.2714191036083457,0.0008439216561918718,0.006958587757443104,0.0007214928029701903,0.006823387050938046,0.0021119669631119997,0.01072811128986445,137
318.1915756729077,340.5066064995984,0.1746006362274708,0.259212863423481,0.0008675373713075848,0.004893997071062246,0.0007494758909833392,0.004809570900480861,0.002443123009483905,0.00849006307924699,114
429.6086301345076,451.7899804914218,0.16967682372548765,0.28315915708270145,0.0006574035032893802,0.003734042764315412,0.0005822827020250509,0.0036833356565047592,0.0016548791540984542,0.005946555899460193,105
428.16445808000816,166.58709418708978,0.1983733681369628,0.23678577201655163,0.0008535353806235428,0.008238530745569813,0.0007263632785040738,0.007999821909016222,0.0020829245473061864,0.012824202889874348,154
322.90981218562723,402.13956089901825,0.14721307664420352,0.291611306419953,0.0008102948840195985,0.004262961177875137,0.0007095440666347823,0.004198267057501928,0.0020120438075825753,0.006873625271899886,108
