Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.6752E-11,0.00056632,-0.039261,0,0,0,3.0021,0.013049,6.8253E-07,2.4435E-13,0.0025904,2.0012E-11,0.01394,0,0,0,0,0,0,package://v2_4/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://v2_4/meshes/base_link.STL,,SimBody_Base-1;doghead-1/doghead-1,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_Thigh,0.0095038,-0.00067671,-0.13181,0,0,0,0.088242,0.00049167,-2.1956E-07,-8.6515E-07,0.00048834,-2.451E-05,8.9795E-06,0,0,0,0,0,0,package://v2_4/meshes/LF_Thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://v2_4/meshes/LF_Thigh.STL,,SimBody_LF_ThighLeg-1,LF_Thigh,LF_Shoulder,LF_Shoulder,revolute,-0.1245,0.235,-0.105,0,0,0,base_link,1,0,0,1,1,0,3.14,,,,,,,,
LF_Calf,0.0094997,0.14516,0.0018158,0,0,0,0.10463,0.00040923,-1.6059E-07,5.0477E-07,1.7662E-05,-4.6889E-06,0.00040277,0,0,0,0,0,0,package://v2_4/meshes/LF_Calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://v2_4/meshes/LF_Calf.STL,,SimBody_LF_CalfLeg-1,LF_Calf,LF_Elbow,LF_Elbow,revolute,0,0,-0.25,0,0,0,LF_Thigh,1,0,0,1,1,0,3.14,,,,,,,,
RF_Thigh,-0.0096381,-0.00030317,-0.13031,0,0,0,0.08659,0.00049153,-2.2292E-07,-8.6515E-07,0.00048831,-2.451E-05,8.8685E-06,0,0,0,0,0,0,package://v2_4/meshes/RF_Thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://v2_4/meshes/RF_Thigh.STL,,SimBody_RF_ThighLeg-1,RF_Thigh,RF_Shoulder,RF_Shoulder,revolute,0.1245,0.235,-0.105,0,0,0,base_link,-1,0,0,1,1,0,3.14,,,,,,,,
RF_Calf,-0.0095003,0.14516,0.0018158,0,0,0,0.10463,0.00040923,-1.6059E-07,5.0477E-07,1.7662E-05,-4.6889E-06,0.00040277,0,0,0,0,0,0,package://v2_4/meshes/RF_Calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://v2_4/meshes/RF_Calf.STL,,SimBody_RF_CalfLeg-1,RF_Calf,RF_Elbow,RF_Elbow,revolute,0,0,-0.25,0,0,0,RF_Thigh,-1,0,0,1,1,0,3.14,,,,,,,,
LB_Thigh,0.00999622099802527,0.000676711845986944,-0.131806390667606,0,0,0,0.088242208133174,0.000491671507336521,-2.19555200687592E-07,8.65148297346723E-07,0.000488344429091293,2.45099889323388E-05,8.97951850585149E-06,0,0,0,0,0,0,package://v2_4/meshes/LB_Thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v2_4/meshes/LB_Thigh.STL,,SimBody_LB_ThighLeg-1,LB_Thigh,LB_Shoulder,LB_Shoulder,revolute,-0.125000000000002,-0.234999999999788,-0.1049999999997,0,0,0,base_link,1,0,0,1,1,0,3.14,,,,,,,,
LB_Calf,0.00950033259369662,-0.14516058908711,0.00181581662999181,0,0,0,0.104633187618761,0.000409228048380258,-1.60584974158842E-07,-5.04772139851954E-07,1.76618965446207E-05,4.68888241017773E-06,0.000402772876718349,0,0,0,0,0,0,package://v2_4/meshes/LB_Calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v2_4/meshes/LB_Calf.STL,,SimBody_LB_CalfLeg-1,LB_Calf,LB_Elbow,LB_Elbow,revolute,0.000500000000300954,0,-0.249999999999999,0,0,0,LB_Thigh,1,0,0,1,1,0,3.14,,,,,,,,
RB_Thigh,-0.00909006577664706,0.000314228083155621,-0.126305541097904,0,0,0,0.0835436064116753,0.000490965397560563,-2.22915465507145E-07,8.75425762967168E-07,0.000487844071655092,2.45099890756795E-05,8.74900059524618E-06,0,0,0,0,0,0,package://v2_4/meshes/RB_Thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v2_4/meshes/RB_Thigh.STL,,SimBody_RB_ThighLeg-1,RB_Thigh,RB_Shoulder,RB_Shoulder,revolute,0.124499999999999,-0.235,-0.105,0,0,0,base_link,-1,0,0,1,1,0,3.14,,,,,,,,
RB_Calf,-0.00949966786401607,-0.145160591651444,0.00181581535334621,0,0,0,0.104633194570392,0.000409228101246074,-1.60589466445026E-07,-5.04771748533639E-07,1.76618965887893E-05,4.68887025756794E-06,0.000402772929794033,0,0,0,0,0,0,package://v2_4/meshes/RB_Calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v2_4/meshes/RB_Calf.STL,,SimBody_RB_CalfLeg-1,RB_Calf,RB_Elbow,RB_Elbow,revolute,0,0,-0.25,0,0,0,RB_Thigh,-1,0,0,1,1,0,3.14,,,,,,,,
LF_MAA_UPLink,0.00946571402861388,0.00225917574833165,-0.0214301584656529,0,0,0,0.101356075064708,3.18717792649093E-05,-7.73533533778253E-07,3.20612703199514E-08,3.1593121998784E-05,2.91795704515546E-06,1.37824743830266E-05,0,0,0,0,0,0,package://v2_4/meshes/LF_MAA_UPLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v2_4/meshes/LF_MAA_UPLink.STL,,MAA_upper_right-2,LF_MAA_UPLink,LF_MAA_UP,LF_MAA_UPJoint,revolute,-0.125000000000001,0.175,-0.105,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
