Pressure1/kPa,Pressure2/kPa,Theta1_real/deg,Theta1_sim/deg,Theta1_error/deg,Theta1_errorRelative,Theta2_real/deg,Theta2_sim/deg,Theta2_error/deg,Theta2_errorRelative
0.0,0.0,73.89266921178866,74.0031455134591,-0.11047630167045142,-0.001495091500265175,62.25957185233734,61.51660629792077,0.7429655544165686,0.011933354700521866
0.0,10.0,74.02865965110674,74.28055085404043,-0.2518912029336947,-0.00340261736631252,46.37301069400972,45.75669395327111,0.6163167407386031,0.013290418963852533
0.0,20.0,74.09988623784302,74.79983944579095,-0.6999532079479216,-0.009446076687638064,28.34796261181518,29.110974539737672,-0.7630119279224943,-0.026915935313265787
0.0,30.0,74.41576273100394,74.96569063083847,-0.5499278998345234,-0.007389938363225379,15.721740341816783,11.705670298678516,4.01607004313827,0.2554469133710535
10.0,0.0,83.98188234542413,82.92867419750671,1.053208147917432,0.012540897137617175,51.382920738087606,52.65930313441977,-1.2763823963321603,-0.024840596408254412
10.0,10.0,83.77451736048711,83.45345345229471,0.3210639081924001,0.003832476966842334,36.05601595856918,35.96679252072142,0.08922343784775973,0.0024745783879806223
10.0,20.0,84.41700923034581,84.0924442516367,0.32456497870910256,0.00384478177642462,12.79867537675587,17.996687548841617,-5.198012172085747,-0.40613673048744103
20.0,0.0,92.74444734757957,91.86046592553852,0.8839814220410442,0.009531367616307372,41.745600135503445,43.285731267974015,-1.5401311324705758,-0.03689325647424908
20.0,10.0,92.87948991857289,92.74726773536769,0.1322221832052033,0.0014235886019736115,26.48362177846401,25.051349158088822,1.432272620375188,0.054081448238317835
30.0,0.0,99.26528455332016,100.69274682889872,-1.427462275578578,-0.014380276871234063,34.06637576600336,33.37799670937448,0.6883790566288833,0.020206994173881367
30.0,10.0,101.89286297092141,102.15687201162388,-0.2640090407024705,-0.0025910454668234663,16.289083920034766,12.484095355866463,3.804988564168304,0.2335913169118342
40.0,0.0,110.0897124629567,109.40588125932068,0.6838312036360227,0.006211581339774324,20.816637813755904,22.67605540938499,-1.859417595629087,-0.08932362719979496
50.0,0.0,118.19206427136213,118.17871385279744,0.013350418564674263,0.00011295528720119885,9.778826851093196,10.205413304074067,-0.42658645298087094,-0.043623479531512716
